reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
93;2021-04-16-2021-04-22;90;148;47.9;115;77.7;6;4.1;17;11.5;10;6.8
93;2021-04-17-2021-04-23;09;386;49.6;343;88.9;15;3.9;23;6;5;1.3
93;2021-04-17-2021-04-23;19;1290;50.2;1162;90.1;36;2.8;67;5.2;25;1.9
93;2021-04-17-2021-04-23;29;1712;47;1521;88.8;66;3.9;90;5.3;35;2
93;2021-04-17-2021-04-23;39;1732;47.5;1544;89.1;57;3.3;87;5;44;2.5
93;2021-04-17-2021-04-23;49;1751;49;1601;91.4;36;2.1;81;4.6;33;1.9
93;2021-04-17-2021-04-23;59;1674;49.6;1497;89.4;49;2.9;86;5.1;42;2.5
93;2021-04-17-2021-04-23;69;1020;46.6;890;87.3;30;2.9;74;7.3;26;2.5
93;2021-04-17-2021-04-23;79;637;47;544;85.4;21;3.3;52;8.2;20;3.1
93;2021-04-17-2021-04-23;89;336;40.8;282;83.9;8;2.4;36;10.7;10;3
93;2021-04-17-2021-04-23;90;146;47.2;115;78.8;7;4.8;15;10.3;9;6.2
93;2021-04-18-2021-04-24;09;399;49.1;351;88;16;4;25;6.3;7;1.8
93;2021-04-18-2021-04-24;19;1258;50.2;1130;89.8;38;3;67;5.3;23;1.8
93;2021-04-18-2021-04-24;29;1693;47.3;1506;89;65;3.8;88;5.2;34;2
93;2021-04-18-2021-04-24;39;1727;47.5;1538;89.1;58;3.4;85;4.9;46;2.7
93;2021-04-18-2021-04-24;49;1730;49.4;1584;91.6;37;2.1;79;4.6;30;1.7
93;2021-04-18-2021-04-24;59;1675;50.3;1503;89.7;48;2.9;84;5;40;2.4
93;2021-04-18-2021-04-24;69;1030;46.9;902;87.6;33;3.2;73;7.1;22;2.1
93;2021-04-18-2021-04-24;79;629;46.7;542;86.2;18;2.9;49;7.8;20;3.2
93;2021-04-18-2021-04-24;89;326;39.6;277;85;8;2.5;34;10.4;7;2.1
93;2021-04-18-2021-04-24;90;144;46.5;113;78.5;7;4.9;15;10.4;9;6.2
93;2021-04-19-2021-04-25;09;398;49.4;352;88.4;15;3.8;24;6;7;1.8
93;2021-04-19-2021-04-25;19;1257;50.1;1130;89.9;39;3.1;65;5.2;23;1.8
93;2021-04-19-2021-04-25;29;1686;47.3;1501;89;64;3.8;88;5.2;33;2
93;2021-04-19-2021-04-25;39;1739;47.5;1550;89.1;57;3.3;86;4.9;46;2.6
93;2021-04-19-2021-04-25;49;1719;49.3;1573;91.5;37;2.2;78;4.5;31;1.8
93;2021-04-19-2021-04-25;59;1666;50.1;1502;90.2;43;2.6;84;5;37;2.2
93;2021-04-19-2021-04-25;69;1028;47;902;87.7;31;3;72;7;23;2.2
93;2021-04-19-2021-04-25;79;625;46.6;542;86.7;16;2.6;47;7.5;20;3.2
93;2021-04-19-2021-04-25;89;321;39.9;274;85.4;8;2.5;32;10;7;2.2
93;2021-04-19-2021-04-25;90;142;45.5;112;78.9;7;4.9;15;10.6;8;5.6
93;2021-04-20-2021-04-26;09;408;50.2;365;89.5;17;4.2;19;4.7;7;1.7
93;2021-04-20-2021-04-26;19;1209;49.5;1088;90;32;2.6;65;5.4;24;2
93;2021-04-20-2021-04-26;29;1639;47.6;1470;89.7;60;3.7;79;4.8;30;1.8
93;2021-04-20-2021-04-26;39;1643;47.5;1476;89.8;48;2.9;79;4.8;40;2.4
93;2021-04-20-2021-04-26;49;1597;49.1;1459;91.4;30;1.9;76;4.8;32;2
93;2021-04-20-2021-04-26;59;1615;49.8;1476;91.4;31;1.9;80;5;28;1.7
93;2021-04-20-2021-04-26;69;978;47.5;864;88.3;32;3.3;60;6.1;22;2.2
93;2021-04-20-2021-04-26;79;597;47.2;524;87.8;15;2.5;44;7.4;14;2.3
93;2021-04-20-2021-04-26;89;312;38.8;274;87.8;7;2.2;28;9;3;1
93;2021-04-20-2021-04-26;90;139;46.3;112;80.6;8;5.8;11;7.9;8;5.8
93;2021-04-21-2021-04-27;09;423;50.5;379;89.6;18;4.3;19;4.5;7;1.7
93;2021-04-21-2021-04-27;19;1185;50.1;1067;90;33;2.8;63;5.3;22;1.9
93;2021-04-21-2021-04-27;29;1569;47;1400;89.2;54;3.4;88;5.6;27;1.7
93;2021-04-21-2021-04-27;39;1553;47.4;1406;90.5;42;2.7;72;4.6;33;2.1
93;2021-04-21-2021-04-27;49;1527;48.3;1390;91;40;2.6;68;4.5;29;1.9
93;2021-04-21-2021-04-27;59;1580;50;1438;91;33;2.1;84;5.3;25;1.6
93;2021-04-21-2021-04-27;69;920;46.3;820;89.1;27;2.9;54;5.9;19;2.1
93;2021-04-21-2021-04-27;79;582;46.9;515;88.5;12;2.1;46;7.9;9;1.5
93;2021-04-21-2021-04-27;89;292;37.4;259;88.7;7;2.4;23;7.9;3;1
93;2021-04-21-2021-04-27;90;137;44.5;106;77.4;10;7.3;14;10.2;7;5.1
93;2021-04-22-2021-04-28;09;422;52;381;90.3;15;3.6;19;4.5;7;1.7
93;2021-04-22-2021-04-28;19;1110;49.6;992;89.4;31;2.8;67;6;20;1.8
93;2021-04-22-2021-04-28;29;1448;46;1297;89.6;47;3.2;80;5.5;24;1.7
93;2021-04-22-2021-04-28;39;1463;47.7;1325;90.6;38;2.6;72;4.9;28;1.9
93;2021-04-22-2021-04-28;49;1398;47.9;1271;90.9;41;2.9;61;4.4;25;1.8
93;2021-04-22-2021-04-28;59;1519;49.4;1371;90.3;37;2.4;88;5.8;23;1.5
93;2021-04-22-2021-04-28;69;885;46.1;801;90.5;24;2.7;47;5.3;13;1.5
93;2021-04-22-2021-04-28;79;549;46;488;88.9;12;2.2;42;7.7;7;1.3
93;2021-04-22-2021-04-28;89;256;35.8;226;88.3;6;2.3;22;8.6;2;0.8
93;2021-04-22-2021-04-28;90;124;41.6;97;78.2;10;8.1;14;11.3;3;2.4
93;2021-04-23-2021-04-29;09;414;52;371;89.6;15;3.6;23;5.6;5;1.2
93;2021-04-23-2021-04-29;19;1027;49.5;927;90.3;28;2.7;57;5.6;15;1.5
93;2021-04-23-2021-04-29;29;1318;45.5;1190;90.3;44;3.3;64;4.9;20;1.5
93;2021-04-23-2021-04-29;39;1337;47.3;1220;91.2;32;2.4;62;4.6;23;1.7
93;2021-04-23-2021-04-29;49;1309;47.9;1185;90.5;39;3;59;4.5;26;2
93;2021-04-23-2021-04-29;59;1429;48.8;1286;90;35;2.4;81;5.7;27;1.9
93;2021-04-23-2021-04-29;69;826;45.1;751;90.9;23;2.8;41;5;11;1.3
93;2021-04-23-2021-04-29;79;510;45.3;456;89.4;13;2.5;35;6.9;6;1.2
93;2021-04-23-2021-04-29;89;238;34.8;213;89.5;5;2.1;19;8;1;0.4
93;2021-04-23-2021-04-29;90;124;44.1;100;80.6;10;8.1;14;11.3;0;0
93;2021-04-24-2021-04-30;09;446;54.5;400;89.7;15;3.4;25;5.6;6;1.3
93;2021-04-24-2021-04-30;19;1019;49.1;930;91.3;19;1.9;57;5.6;13;1.3
93;2021-04-24-2021-04-30;29;1218;44.7;1105;90.7;35;2.9;61;5;17;1.4
93;2021-04-24-2021-04-30;39;1250;47.5;1133;90.6;33;2.6;63;5;21;1.7
93;2021-04-24-2021-04-30;49;1204;46.6;1082;89.9;32;2.7;67;5.6;23;1.9
93;2021-04-24-2021-04-30;59;1353;48.6;1201;88.8;36;2.7;83;6.1;33;2.4
93;2021-04-24-2021-04-30;69;806;44.9;726;90.1;24;3;44;5.5;12;1.5
93;2021-04-24-2021-04-30;79;481;44.6;429;89.2;11;2.3;37;7.7;4;0.8
93;2021-04-24-2021-04-30;89;234;35.4;199;85;6;2.6;26;11.1;3;1.3
93;2021-04-24-2021-04-30;90;120;43.8;97;80.8;10;8.3;12;10;1;0.8
93;2021-04-25-2021-05-01;09;419;56.2;378;90.2;13;3.1;22;5.3;6;1.4
93;2021-04-25-2021-05-01;19;949;50.1;868;91.5;16;1.7;52;5.5;13;1.4
93;2021-04-25-2021-05-01;29;1121;45.2;1015;90.5;31;2.8;58;5.2;17;1.5
93;2021-04-25-2021-05-01;39;1171;48.8;1061;90.6;31;2.6;61;5.2;18;1.5
93;2021-04-25-2021-05-01;49;1132;47.6;1017;89.8;31;2.7;61;5.4;23;2
93;2021-04-25-2021-05-01;59;1260;49.2;1111;88.2;36;2.9;80;6.3;33;2.6
93;2021-04-25-2021-05-01;69;741;45.5;667;90;20;2.7;42;5.7;12;1.6
93;2021-04-25-2021-05-01;79;453;45.4;402;88.7;10;2.2;38;8.4;3;0.7
93;2021-04-25-2021-05-01;89;226;36.5;197;87.2;5;2.2;21;9.3;3;1.3
93;2021-04-25-2021-05-01;90;116;44.3;94;81;10;8.6;11;9.5;1;0.9
93;2021-04-26-2021-05-02;09;414;56;374;90.3;13;3.1;21;5.1;6;1.4
93;2021-04-26-2021-05-02;19;951;50.3;871;91.6;17;1.8;50;5.3;13;1.4
93;2021-04-26-2021-05-02;29;1122;45.6;1018;90.7;31;2.8;55;4.9;18;1.6
93;2021-04-26-2021-05-02;39;1153;49.1;1046;90.7;31;2.7;60;5.2;16;1.4
93;2021-04-26-2021-05-02;49;1127;47.7;1016;90.2;31;2.8;58;5.1;22;2
93;2021-04-26-2021-05-02;59;1253;49.4;1105;88.2;36;2.9;79;6.3;33;2.6
93;2021-04-26-2021-05-02;69;742;46.1;671;90.4;20;2.7;40;5.4;11;1.5
93;2021-04-26-2021-05-02;79;453;45.7;402;88.7;10;2.2;38;8.4;3;0.7
93;2021-04-26-2021-05-02;89;227;37.2;197;86.8;5;2.2;22;9.7;3;1.3
93;2021-04-26-2021-05-02;90;117;46.2;94;80.3;11;9.4;11;9.4;1;0.9
93;2021-04-27-2021-05-03;09;396;54.2;361;91.2;11;2.8;19;4.8;5;1.3
93;2021-04-27-2021-05-03;19;918;50.5;828;90.2;16;1.7;57;6.2;17;1.9
93;2021-04-27-2021-05-03;29;1049;46;948;90.4;23;2.2;62;5.9;16;1.5
93;2021-04-27-2021-05-03;39;1093;49.8;964;88.2;34;3.1;69;6.3;26;2.4
93;2021-04-27-2021-05-03;49;1072;49.3;957;89.3;28;2.6;60;5.6;27;2.5
93;2021-04-27-2021-05-03;59;1152;50.5;991;86;38;3.3;84;7.3;39;3.4
93;2021-04-27-2021-05-03;69;691;46.2;623;90.2;14;2;41;5.9;13;1.9
93;2021-04-27-2021-05-03;79;418;45.1;363;86.8;11;2.6;38;9.1;6;1.4
93;2021-04-27-2021-05-03;89;214;37.5;178;83.2;8;3.7;24;11.2;4;1.9
93;2021-04-27-2021-05-03;90;117;45;90;76.9;10;8.5;14;12;3;2.6
93;2021-04-28-2021-05-04;09;385;53.5;354;91.9;8;2.1;19;4.9;4;1
93;2021-04-28-2021-05-04;19;845;49.2;757;89.6;12;1.4;61;7.2;15;1.8
93;2021-04-28-2021-05-04;29;1000;47;907;90.7;24;2.4;54;5.4;15;1.5
93;2021-04-28-2021-05-04;39;1016;49.3;885;87.1;33;3.2;66;6.5;32;3.1
93;2021-04-28-2021-05-04;49;991;48.8;881;88.9;19;1.9;62;6.3;29;2.9
93;2021-04-28-2021-05-04;59;1060;50.3;910;85.8;35;3.3;78;7.4;37;3.5
93;2021-04-28-2021-05-04;69;666;47.7;602;90.4;14;2.1;39;5.9;11;1.7
93;2021-04-28-2021-05-04;79;368;43;319;86.7;13;3.5;31;8.4;5;1.4
93;2021-04-28-2021-05-04;89;206;38.4;170;82.5;11;5.3;21;10.2;4;1.9
93;2021-04-28-2021-05-04;90;112;45.2;87;77.7;13;11.6;9;8;3;2.7
93;2021-04-29-2021-05-05;09;366;53.7;334;91.3;8;2.2;19;5.2;5;1.4
93;2021-04-29-2021-05-05;19;824;50.4;743;90.2;10;1.2;58;7;13;1.6
93;2021-04-29-2021-05-05;29;951;47.7;857;90.1;25;2.6;53;5.6;16;1.7
93;2021-04-29-2021-05-05;39;958;48.9;837;87.4;26;2.7;61;6.4;34;3.5
93;2021-04-29-2021-05-05;49;934;48.1;821;87.9;17;1.8;67;7.2;29;3.1
93;2021-04-29-2021-05-05;59;1004;50.5;868;86.5;31;3.1;69;6.9;36;3.6
93;2021-04-29-2021-05-05;69;639;48.7;568;88.9;15;2.3;44;6.9;12;1.9
93;2021-04-29-2021-05-05;79;353;43.6;302;85.6;14;4;33;9.3;4;1.1
93;2021-04-29-2021-05-05;89;216;40.4;175;81;12;5.6;25;11.6;4;1.9
93;2021-04-29-2021-05-05;90;107;45.7;84;78.5;12;11.2;8;7.5;3;2.8
93;2021-04-30-2021-05-06;09;370;54.4;345;93.2;9;2.4;11;3;5;1.4
93;2021-04-30-2021-05-06;19;798;50.1;724;90.7;6;0.8;57;7.1;11;1.4
93;2021-04-30-2021-05-06;29;913;48;815;89.3;23;2.5;59;6.5;16;1.8
93;2021-04-30-2021-05-06;39;910;48.5;778;85.5;30;3.3;63;6.9;39;4.3
93;2021-04-30-2021-05-06;49;892;48.2;781;87.6;15;1.7;70;7.8;26;2.9
93;2021-04-30-2021-05-06;59;955;50.6;821;86;33;3.5;68;7.1;33;3.5
93;2021-04-30-2021-05-06;69;610;49.7;538;88.2;15;2.5;45;7.4;12;2
93;2021-04-30-2021-05-06;79;336;44.4;284;84.5;13;3.9;34;10.1;5;1.5
93;2021-04-30-2021-05-06;89;207;41.6;164;79.2;14;6.8;25;12.1;4;1.9
93;2021-04-30-2021-05-06;90;99;42.1;80;80.8;8;8.1;8;8.1;3;3
93;2021-05-01-2021-05-07;09;332;51.3;309;93.1;5;1.5;11;3.3;7;2.1
93;2021-05-01-2021-05-07;19;721;50.5;649;90;7;1;54;7.5;11;1.5
93;2021-05-01-2021-05-07;29;894;50;802;89.7;21;2.3;55;6.2;16;1.8
93;2021-05-01-2021-05-07;39;845;48.6;722;85.4;25;3;62;7.3;36;4.3
93;2021-05-01-2021-05-07;49;851;49.5;741;87.1;18;2.1;66;7.8;26;3.1
93;2021-05-01-2021-05-07;59;888;51.5;766;86.3;32;3.6;66;7.4;24;2.7
93;2021-05-01-2021-05-07;69;546;50.1;477;87.4;15;2.7;43;7.9;11;2
93;2021-05-01-2021-05-07;79;307;44.6;258;84;11;3.6;32;10.4;6;2
93;2021-05-01-2021-05-07;89;193;42.5;159;82.4;13;6.7;19;9.8;2;1
93;2021-05-01-2021-05-07;90;88;40.4;70;79.5;6;6.8;10;11.4;2;2.3
93;2021-05-02-2021-05-08;09;329;51.2;308;93.6;5;1.5;11;3.3;5;1.5
93;2021-05-02-2021-05-08;19;711;50.2;639;89.9;7;1;54;7.6;11;1.5
93;2021-05-02-2021-05-08;29;901;49.8;805;89.3;22;2.4;59;6.5;15;1.7
93;2021-05-02-2021-05-08;39;836;48.8;715;85.5;23;2.8;61;7.3;37;4.4
93;2021-05-02-2021-05-08;49;847;49.4;733;86.5;22;2.6;65;7.7;27;3.2
93;2021-05-02-2021-05-08;59;876;51.5;756;86.3;32;3.7;66;7.5;22;2.5
93;2021-05-02-2021-05-08;69;543;49.6;473;87.1;14;2.6;45;8.3;11;2
93;2021-05-02-2021-05-08;79;308;43.9;257;83.4;11;3.6;33;10.7;7;2.3
93;2021-05-02-2021-05-08;89;188;43;153;81.4;13;6.9;20;10.6;2;1.1
93;2021-05-02-2021-05-08;90;88;40.6;70;79.5;6;6.8;10;11.4;2;2.3
93;2021-05-03-2021-05-09;09;328;52.1;305;93;5;1.5;13;4;5;1.5
93;2021-05-03-2021-05-09;19;707;50.4;637;90.1;5;0.7;54;7.6;11;1.6
93;2021-05-03-2021-05-09;29;905;50.3;802;88.6;22;2.4;62;6.9;19;2.1
93;2021-05-03-2021-05-09;39;840;49.2;718;85.5;24;2.9;60;7.1;38;4.5
93;2021-05-03-2021-05-09;49;847;49.9;730;86.2;23;2.7;67;7.9;27;3.2
93;2021-05-03-2021-05-09;59;877;52;757;86.3;32;3.6;65;7.4;23;2.6
93;2021-05-03-2021-05-09;69;537;49.6;465;86.6;14;2.6;47;8.8;11;2
93;2021-05-03-2021-05-09;79;299;43.6;250;83.6;11;3.7;30;10;8;2.7
93;2021-05-03-2021-05-09;89;179;42.7;145;81;13;7.3;19;10.6;2;1.1
93;2021-05-03-2021-05-09;90;88;40.2;71;80.7;5;5.7;10;11.4;2;2.3
93;2021-05-04-2021-05-10;09;273;47.6;244;89.4;5;1.8;17;6.2;7;2.6
93;2021-05-04-2021-05-10;19;598;49.7;538;90;6;1;42;7;12;2
93;2021-05-04-2021-05-10;29;803;50.2;707;88;24;3;55;6.8;17;2.1
93;2021-05-04-2021-05-10;39;753;48.4;655;87;18;2.4;48;6.4;32;4.2
93;2021-05-04-2021-05-10;49;729;48.7;623;85.5;21;2.9;60;8.2;25;3.4
93;2021-05-04-2021-05-10;59;731;50.9;635;86.9;30;4.1;46;6.3;20;2.7
93;2021-05-04-2021-05-10;69;463;47.3;400;86.4;11;2.4;45;9.7;7;1.5
93;2021-05-04-2021-05-10;79;260;42.2;216;83.1;8;3.1;26;10;10;3.8
93;2021-05-04-2021-05-10;89;160;42.1;131;81.9;11;6.9;15;9.4;3;1.9
93;2021-05-04-2021-05-10;90;86;42.2;69;80.2;5;5.8;12;14;0;0
93;2021-05-05-2021-05-11;09;247;46.1;216;87.4;4;1.6;17;6.9;10;4
93;2021-05-05-2021-05-11;19;545;49.2;492;90.3;7;1.3;33;6.1;13;2.4
93;2021-05-05-2021-05-11;29;755;51.1;662;87.7;20;2.6;50;6.6;23;3
93;2021-05-05-2021-05-11;39;722;49.9;628;87;19;2.6;46;6.4;29;4
93;2021-05-05-2021-05-11;49;668;48.7;565;84.6;22;3.3;57;8.5;24;3.6
93;2021-05-05-2021-05-11;59;679;50.4;590;86.9;27;4;42;6.2;20;2.9
93;2021-05-05-2021-05-11;69;419;47.1;353;84.2;10;2.4;43;10.3;13;3.1
93;2021-05-05-2021-05-11;79;248;43.9;201;81;9;3.6;26;10.5;12;4.8
93;2021-05-05-2021-05-11;89;150;42.3;127;84.7;5;3.3;15;10;3;2
93;2021-05-05-2021-05-11;90;80;42.8;65;81.2;0;0;15;18.8;0;0
93;2021-05-06-2021-05-12;09;250;48;222;88.8;3;1.2;17;6.8;8;3.2
93;2021-05-06-2021-05-12;19;527;48.6;473;89.8;8;1.5;33;6.3;13;2.5
93;2021-05-06-2021-05-12;29;725;50;640;88.3;16;2.2;48;6.6;21;2.9
93;2021-05-06-2021-05-12;39;694;50.4;598;86.2;23;3.3;50;7.2;23;3.3
93;2021-05-06-2021-05-12;49;623;48.9;532;85.4;19;3;51;8.2;21;3.4
93;2021-05-06-2021-05-12;59;614;49.6;524;85.3;27;4.4;43;7;20;3.3
93;2021-05-06-2021-05-12;69;371;44.3;319;86;9;2.4;32;8.6;11;3
93;2021-05-06-2021-05-12;79;221;42.5;181;81.9;7;3.2;21;9.5;12;5.4
93;2021-05-06-2021-05-12;89;141;42;122;86.5;4;2.8;12;8.5;3;2.1
93;2021-05-06-2021-05-12;90;75;40.8;58;77.3;0;0;17;22.7;0;0
93;2021-05-07-2021-05-13;09;182;44.2;157;86.3;1;0.5;16;8.8;8;4.4
93;2021-05-07-2021-05-13;19;422;47.9;376;89.1;8;1.9;25;5.9;13;3.1
93;2021-05-07-2021-05-13;29;602;50.2;529;87.9;15;2.5;39;6.5;19;3.2
93;2021-05-07-2021-05-13;39;594;50.6;517;87;16;2.7;43;7.2;18;3
93;2021-05-07-2021-05-13;49;513;47.9;432;84.2;19;3.7;42;8.2;20;3.9
93;2021-05-07-2021-05-13;59;494;48.6;421;85.2;20;4;36;7.3;17;3.4
93;2021-05-07-2021-05-13;69;296;41.9;256;86.5;6;2;24;8.1;10;3.4
93;2021-05-07-2021-05-13;79;186;40.5;151;81.2;5;2.7;19;10.2;11;5.9
93;2021-05-07-2021-05-13;89;122;40.8;108;88.5;1;0.8;10;8.2;3;2.5
93;2021-05-07-2021-05-13;90;63;41.4;47;74.6;1;1.6;15;23.8;0;0
93;2021-05-08-2021-05-14;09;170;45.7;145;85.3;1;0.6;15;8.8;9;5.3
93;2021-05-08-2021-05-14;19;398;46.7;360;90.5;6;1.5;19;4.8;13;3.3
93;2021-05-08-2021-05-14;29;558;48.4;494;88.5;13;2.3;33;5.9;18;3.2
93;2021-05-08-2021-05-14;39;580;49.7;514;88.6;16;2.8;31;5.3;19;3.3
93;2021-05-08-2021-05-14;49;466;46.1;397;85.2;16;3.4;32;6.9;21;4.5
93;2021-05-08-2021-05-14;59;463;46.7;402;86.8;15;3.2;28;6;18;3.9
93;2021-05-08-2021-05-14;69;272;40.4;237;87.1;4;1.5;20;7.4;11;4
93;2021-05-08-2021-05-14;79;176;38.4;142;80.7;5;2.8;18;10.2;11;6.2
93;2021-05-08-2021-05-14;89;114;38.3;99;86.8;1;0.9;11;9.6;3;2.6
93;2021-05-08-2021-05-14;90;63;42.6;48;76.2;2;3.2;13;20.6;0;0
93;2021-05-09-2021-05-15;09;175;44.5;148;84.6;2;1.1;16;9.1;9;5.1
93;2021-05-09-2021-05-15;19;426;46.3;384;90.1;8;1.9;19;4.5;15;3.5
93;2021-05-09-2021-05-15;29;576;48.3;512;88.9;14;2.4;28;4.9;22;3.8
93;2021-05-09-2021-05-15;39;595;49.1;525;88.2;19;3.2;31;5.2;20;3.4
93;2021-05-09-2021-05-15;49;481;46.3;414;86.1;13;2.7;32;6.7;22;4.6
93;2021-05-09-2021-05-15;59;479;46.8;417;87.1;17;3.5;27;5.6;18;3.8
93;2021-05-09-2021-05-15;69;289;42.4;256;88.6;4;1.4;18;6.2;11;3.8
93;2021-05-09-2021-05-15;79;172;38.8;138;80.2;6;3.5;18;10.5;10;5.8
93;2021-05-09-2021-05-15;89;113;37.7;99;87.6;1;0.9;10;8.8;3;2.7
93;2021-05-09-2021-05-15;90;61;42.7;46;75.4;2;3.3;13;21.3;0;0
93;2021-05-10-2021-05-16;09;170;43.6;145;85.3;2;1.2;14;8.2;9;5.3
93;2021-05-10-2021-05-16;19;423;46.2;380;89.8;9;2.1;19;4.5;15;3.5
93;2021-05-10-2021-05-16;29;561;47.5;503;89.7;15;2.7;26;4.6;17;3
93;2021-05-10-2021-05-16;39;585;48.3;517;88.4;19;3.2;30;5.1;19;3.2
93;2021-05-10-2021-05-16;49;476;46.4;413;86.8;12;2.5;29;6.1;22;4.6
93;2021-05-10-2021-05-16;59;468;46.5;408;87.2;17;3.6;26;5.6;17;3.6
93;2021-05-10-2021-05-16;69;285;42.3;253;88.8;4;1.4;17;6;11;3.9
93;2021-05-10-2021-05-16;79;169;38.9;135;79.9;7;4.1;18;10.7;9;5.3
93;2021-05-10-2021-05-16;89;111;37.2;97;87.4;1;0.9;10;9;3;2.7
93;2021-05-10-2021-05-16;90;57;40.4;42;73.7;2;3.5;13;22.8;0;0
93;2021-05-11-2021-05-17;09;161;46;136;84.5;6;3.7;12;7.5;7;4.3
93;2021-05-11-2021-05-17;19;374;43.3;344;92;8;2.1;15;4;7;1.9
93;2021-05-11-2021-05-17;29;484;44.6;436;90.1;11;2.3;20;4.1;17;3.5
93;2021-05-11-2021-05-17;39;519;45.6;458;88.2;24;4.6;24;4.6;13;2.5
93;2021-05-11-2021-05-17;49;410;42.3;362;88.3;14;3.4;20;4.9;14;3.4
93;2021-05-11-2021-05-17;59;396;41.9;350;88.4;16;4;19;4.8;11;2.8
93;2021-05-11-2021-05-17;69;234;39.1;208;88.9;5;2.1;13;5.6;8;3.4
93;2021-05-11-2021-05-17;79;151;37.4;120;79.5;9;6;17;11.3;5;3.3
93;2021-05-11-2021-05-17;89;94;34.8;84;89.4;0;0;9;9.6;1;1.1
93;2021-05-11-2021-05-17;90;45;34.1;35;77.8;4;8.9;6;13.3;0;0
93;2021-02-12-2021-02-18;0;10852;45.6;5271;48.6;315;2.9;786;7.2;4480;41.3
93;2021-02-13-2021-02-19;0;11392;47.2;5585;49;319;2.8;1017;8.9;4471;39.2
93;2021-02-14-2021-02-20;0;11624;47.5;5767;49.6;348;3;1069;9.2;4440;38.2
93;2021-02-15-2021-02-21;0;11706;47.9;5803;49.6;354;3;1120;9.6;4429;37.8
93;2021-02-16-2021-02-22;0;12236;49.3;6324;51.7;356;2.9;1410;11.5;4146;33.9
93;2021-02-17-2021-02-23;0;12722;50.2;6817;53.6;370;2.9;1560;12.3;3975;31.2
93;2021-02-18-2021-02-24;0;13017;51;7270;55.9;371;2.9;1587;12.2;3789;29.1
93;2021-02-19-2021-02-25;0;12919;50.9;7495;58;359;2.8;1497;11.6;3568;27.6
93;2021-02-20-2021-02-26;0;12592;49.7;7623;60.5;368;2.9;1314;10.4;3287;26.1
93;2021-02-21-2021-02-27;0;12341;49.4;7546;61.1;343;2.8;1267;10.3;3185;25.8
93;2021-02-22-2021-02-28;0;12310;49.3;7592;61.7;339;2.8;1213;9.9;3166;25.7
93;2021-02-23-2021-03-01;0;12028;49;7898;65.7;329;2.7;957;8;2844;23.6
93;2021-02-24-2021-03-02;0;11640;48;7944;68.2;322;2.8;790;6.8;2584;22.2
93;2021-02-25-2021-03-03;0;11304;47;7926;70.1;303;2.7;711;6.3;2364;20.9
93;2021-02-26-2021-03-04;0;11085;47.5;7938;71.6;304;2.7;687;6.2;2156;19.4
93;2021-02-27-2021-03-05;0;11100;48.7;8145;73.4;349;3.1;662;6;1944;17.5
93;2021-02-28-2021-03-06;0;11229;49.2;8307;74;362;3.2;687;6.1;1873;16.7
93;2021-03-01-2021-03-07;0;11234;49.3;8307;73.9;367;3.3;699;6.2;1861;16.6
93;2021-03-02-2021-03-08;0;11236;50;8262;73.5;374;3.3;892;7.9;1708;15.2
93;2021-03-03-2021-03-09;0;11220;51.6;8261;73.6;362;3.2;1007;9;1590;14.2
93;2021-03-04-2021-03-10;0;11366;53.1;8374;73.7;361;3.2;1111;9.8;1520;13.4
93;2021-03-05-2021-03-11;0;11447;53.3;8452;73.8;384;3.4;1191;10.4;1420;12.4
93;2021-03-06-2021-03-12;0;11475;53.1;8514;74.2;356;3.1;1246;10.9;1359;11.8
93;2021-03-07-2021-03-13;0;11439;53.1;8503;74.3;351;3.1;1230;10.8;1355;11.8
93;2021-03-08-2021-03-14;0;11417;53.1;8495;74.4;347;3;1229;10.8;1346;11.8
93;2021-03-09-2021-03-15;0;11458;53.1;8655;75.5;343;3;1229;10.7;1231;10.7
93;2021-03-10-2021-03-16;0;11495;52.7;8795;76.5;343;3;1184;10.3;1173;10.2
93;2021-03-11-2021-03-17;0;11552;52.8;8980;77.7;356;3.1;1117;9.7;1099;9.5
93;2021-03-12-2021-03-18;0;11639;52.8;9122;78.4;343;2.9;1115;9.6;1059;9.1
93;2021-03-13-2021-03-19;0;11808;53.3;9351;79.2;348;2.9;1160;9.8;949;8
93;2021-03-14-2021-03-20;0;11880;53;9448;79.5;353;3;1176;9.9;903;7.6
93;2021-03-15-2021-03-21;0;11884;52.8;9454;79.6;355;3;1176;9.9;899;7.6
93;2021-03-16-2021-03-22;0;12066;52.2;9831;81.5;355;2.9;1057;8.8;823;6.8
93;2021-03-17-2021-03-23;0;12607;53;10281;81.5;376;3;1157;9.2;793;6.3
93;2021-03-18-2021-03-24;0;13269;53.5;10970;82.7;387;2.9;1143;8.6;769;5.8
93;2021-03-19-2021-03-25;0;13932;53.4;11650;83.6;405;2.9;1096;7.9;781;5.6
93;2021-03-20-2021-03-26;0;14402;53;12183;84.6;421;2.9;1023;7.1;775;5.4
93;2021-03-21-2021-03-27;0;14599;52.6;12379;84.8;440;3;996;6.8;784;5.4
93;2021-03-22-2021-03-28;0;14690;52.7;12456;84.8;444;3;1003;6.8;787;5.4
