reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-03-21-2021-03-27;89;571;62.8;408;71.5;9;1.6;89;15.6;65;11.4
84;2021-03-21-2021-03-27;90;215;59.4;138;64.2;3;1.4;43;20;31;14.4
84;2021-03-22-2021-03-28;09;1050;59.2;864;82.3;15;1.4;104;9.9;67;6.4
84;2021-03-22-2021-03-28;19;2998;57.1;2502;83.5;91;3;196;6.5;209;7
84;2021-03-22-2021-03-28;29;2489;54.7;2053;82.5;61;2.5;196;7.9;179;7.2
84;2021-03-22-2021-03-28;39;2626;56.3;2184;83.2;85;3.2;178;6.8;179;6.8
84;2021-03-22-2021-03-28;49;2734;58;2275;83.2;85;3.1;177;6.5;197;7.2
84;2021-03-22-2021-03-28;59;2405;58.2;1980;82.3;87;3.6;151;6.3;187;7.8
84;2021-03-22-2021-03-28;69;1510;59.7;1206;79.9;56;3.7;123;8.1;125;8.3
84;2021-03-22-2021-03-28;79;1012;61.5;775;76.6;32;3.2;111;11;94;9.3
84;2021-03-22-2021-03-28;89;576;63.5;413;71.7;11;1.9;89;15.5;63;10.9
84;2021-03-22-2021-03-28;90;212;59.1;140;66;3;1.4;43;20.3;26;12.3
84;2021-03-23-2021-03-29;09;1108;60;905;81.7;19;1.7;116;10.5;68;6.1
84;2021-03-23-2021-03-29;19;3153;57.3;2655;84.2;97;3.1;207;6.6;194;6.2
84;2021-03-23-2021-03-29;29;2670;55.3;2223;83.3;71;2.7;204;7.6;172;6.4
84;2021-03-23-2021-03-29;39;2781;57.2;2322;83.5;84;3;198;7.1;177;6.4
84;2021-03-23-2021-03-29;49;2920;58.2;2464;84.4;85;2.9;194;6.6;177;6.1
84;2021-03-23-2021-03-29;59;2546;58.9;2150;84.4;81;3.2;144;5.7;171;6.7
84;2021-03-23-2021-03-29;69;1571;59.8;1273;81;57;3.6;120;7.6;121;7.7
84;2021-03-23-2021-03-29;79;1066;61.5;831;78;23;2.2;119;11.2;93;8.7
84;2021-03-23-2021-03-29;89;573;63.5;399;69.6;11;1.9;92;16.1;71;12.4
84;2021-03-23-2021-03-29;90;203;58.5;135;66.5;2;1;39;19.2;27;13.3
84;2021-03-24-2021-03-30;09;1173;60.5;958;81.7;21;1.8;116;9.9;78;6.6
84;2021-03-24-2021-03-30;19;3291;57.6;2774;84.3;102;3.1;216;6.6;199;6
84;2021-03-24-2021-03-30;29;2807;55.9;2349;83.7;78;2.8;219;7.8;161;5.7
84;2021-03-24-2021-03-30;39;2881;57.7;2432;84.4;89;3.1;198;6.9;162;5.6
84;2021-03-24-2021-03-30;49;3018;58.6;2539;84.1;87;2.9;201;6.7;191;6.3
84;2021-03-24-2021-03-30;59;2650;58.9;2264;85.4;75;2.8;148;5.6;163;6.2
84;2021-03-24-2021-03-30;69;1662;60.5;1380;83;49;2.9;118;7.1;115;6.9
84;2021-03-24-2021-03-30;79;1082;61.4;846;78.2;21;1.9;122;11.3;93;8.6
84;2021-03-24-2021-03-30;89;596;63.5;436;73.2;6;1;86;14.4;68;11.4
84;2021-03-24-2021-03-30;90;206;60.2;145;70.4;2;1;36;17.5;23;11.2
84;2021-03-25-2021-03-31;09;1205;61.7;980;81.3;24;2;113;9.4;88;7.3
84;2021-03-25-2021-03-31;19;3327;56.9;2805;84.3;101;3;218;6.6;203;6.1
84;2021-03-25-2021-03-31;29;2824;55.6;2351;83.3;87;3.1;240;8.5;146;5.2
84;2021-03-25-2021-03-31;39;2885;57.1;2447;84.8;92;3.2;194;6.7;152;5.3
84;2021-03-25-2021-03-31;49;3050;58.4;2570;84.3;78;2.6;208;6.8;194;6.4
84;2021-03-25-2021-03-31;59;2732;59.2;2355;86.2;66;2.4;154;5.6;157;5.7
84;2021-03-25-2021-03-31;69;1677;60.4;1417;84.5;44;2.6;108;6.4;108;6.4
84;2021-03-25-2021-03-31;79;1090;61.3;870;79.8;23;2.1;108;9.9;89;8.2
84;2021-03-25-2021-03-31;89;582;61.8;433;74.4;7;1.2;80;13.7;62;10.7
84;2021-03-25-2021-03-31;90;205;60.3;151;73.7;0;0;34;16.6;20;9.8
84;2021-03-26-2021-04-01;09;1262;64;1013;80.3;30;2.4;115;9.1;104;8.2
84;2021-03-26-2021-04-01;19;3540;59.5;3027;85.5;95;2.7;218;6.2;200;5.6
84;2021-03-26-2021-04-01;29;3009;57.8;2528;84;84;2.8;245;8.1;152;5.1
84;2021-03-26-2021-04-01;39;3045;59.6;2613;85.8;92;3;188;6.2;152;5
